id,driver_id,date,severity,description,location,reported_by,status,resolution,timestamp
I0001,D012,2025-08-06T11:02:32.158703,high,Driver exceeded speed limit by 27 mph,"Interstate 80, Chicago, IL",system,reported,Driver received additional training,2025-08-06T11:02:32.158703
I0002,D007,2025-07-03T11:02:32.158703,medium,Harsh braking incident recorded,"Interstate 10, Houston, TX",customer,resolved,,2025-07-03T11:02:32.158703
I0003,D018,2025-08-04T11:02:32.158703,medium,Delivery delayed by 9 hours,"Interstate 5, Seattle, WA",manager,investigating,Driver received additional training,2025-08-04T11:02:32.158703
I0004,D019,2025-08-26T11:02:32.158703,high,Vehicle involved in minor collision,"Route 66, Albuquerque, NM",customer,reported,,2025-08-26T11:02:32.158703
I0005,D016,2025-08-21T11:02:32.158703,medium,Delivery delayed by 8 hours,"Interstate 90, Boston, MA",driver,reported,Driver received additional training,2025-08-21T11:02:32.158703
I0006,D014,2025-09-07T11:02:32.158703,low,Harsh braking incident recorded,"Interstate 5, Seattle, WA",customer,investigating,,2025-09-07T11:02:32.158703
I0007,D016,2025-09-15T11:02:32.158703,medium,Driver exceeded speed limit by 15 mph,"Interstate 90, Boston, MA",customer,investigating,Driver received additional training,2025-09-15T11:02:32.158703
I0008,D001,2025-07-25T11:02:32.158703,high,Vehicle involved in minor collision,"Interstate 10, Houston, TX",manager,resolved,,2025-07-25T11:02:32.158703
I0009,D001,2025-07-29T11:02:32.158703,medium,Delivery delayed by 4 hours,"Interstate 90, Boston, MA",customer,investigating,Driver received additional training,2025-07-29T11:02:32.158703
I0010,D007,2025-07-04T11:02:32.158703,medium,Delivery delayed by 6 hours,"Highway 401, Toronto, ON",system,reported,,2025-07-04T11:02:32.158703
I0011,D008,2025-09-08T11:02:32.158703,medium,Harsh braking incident recorded,"Interstate 10, Houston, TX",manager,reported,,2025-09-08T11:02:32.158703
I0012,D015,2025-08-25T11:02:32.158703,medium,Harsh braking incident recorded,"Interstate 95, Miami, FL",system,resolved,Driver received additional training,2025-08-25T11:02:32.158703
I0013,D001,2025-08-07T11:02:32.158703,medium,Harsh braking incident recorded,"Highway 401, Toronto, ON",system,resolved,Driver received additional training,2025-08-07T11:02:32.158703
I0014,D013,2025-08-20T11:02:32.158703,medium,Driver deviated from planned route by 25 miles,"Interstate 95, Miami, FL",driver,investigating,Driver received additional training,2025-08-20T11:02:32.158703
I0015,D020,2025-08-25T11:02:32.158703,low,Harsh braking incident recorded,"Interstate 15, Las Vegas, NV",system,reported,,2025-08-25T11:02:32.158703
I0016,D001,2025-09-04T11:02:32.158703,low,Delivery delayed by 11 hours,"Interstate 5, Seattle, WA",driver,reported,Driver received additional training,2025-09-04T11:02:32.158703
I0017,D018,2025-07-23T11:02:32.158703,medium,Driver exceeded speed limit by 28 mph,"Interstate 75, Atlanta, GA",manager,closed,,2025-07-23T11:02:32.158703
I0018,D007,2025-07-09T11:02:32.158703,medium,Delivery delayed by 7 hours,"Highway 401, Toronto, ON",customer,investigating,Driver received additional training,2025-07-09T11:02:32.158703
I0019,D008,2025-06-24T11:02:32.158703,high,Driver exceeded speed limit by 30 mph,"Highway 401, Toronto, ON",driver,investigating,Driver received additional training,2025-06-24T11:02:32.158703
I0020,D016,2025-07-01T11:02:32.158703,high,Vehicle involved in minor collision,"Interstate 5, Seattle, WA",driver,investigating,Driver received additional training,2025-07-01T11:02:32.158703
